atletas.apelido;atletas.atleta_id;atletas.preco_num;preco
Douglas Coutinho ;82469;3.26;3,26
Reginaldo;82515;4.73;4,73
Mois_s;82567;1.8;1,8
Alan Costa;82613;7.02;7,02
Maurinho;82625;4.36;4,36
Matheus Galdezani;82634;5.51;5,51
L_o Artur;82644;2.33;2,33
R_gis;82647;13.63;13,63
Andr_ Castro;82754;2.83;2,83
Gilvan;82773;4.4;4,4
Joel;82787;3.57;3,57
Toshi;82791;3.0;3
Tomas Bastos;82817;11.25;11,25
Matheus Ribeiro;82943;5.76;5,76
Otero;83004;11.31;11,31
Rafael Thyere;83048;6.24;6,24
Yuri;83263;1.7;1,7
Marcos Guilherme ;83266;9.44;9,44
Patrick;83433;11.48;11,48
Fagner Alem‹o;83522;10.49;10,49
Thiago Martins;83615;3.73;3,73
Neilton;83772;7.39;7,39
Neris;83786;2.22;2,22
Jœlio C_sar ;83813;2.44;2,44
Clayson;83817;14.03;14,03
Diego Tavares;83869;5.83;5,83
Feij‹o;84313;0.96;0,96
Danilo Barcelos;84382;5.12;5,12
Romarinho;84523;0.79;0,79
Lucas Romero;84558;7.95;7,95
Allione;84585;9.93;9,93
Judson;84691;5.21;5,21
Niltinho;84703;3.69;3,69
Denilson;84718;2.86;2,86
Claudinei Oliveira;84761;8.63;8,63
Luan Peres ;84847;2.42;2,42
Erik;84848;3.53;3,53
Lucas C‰ndido;84851;4.0;4
Lucas Frigeri;84854;1.0;1
Raul Prata;84855;5.36;5,36
Alex Silva;84861;5.29;5,29
Alberto Valentim;84863;15.08;15,08
Euller ;84890;6.31;6,31
Henrique;84893;8.49;8,49
Lucas Ot‡vio ;84896;2.96;2,96
Jeferson;84917;5.14;5,14
Elder Santana;84925;1.4;1,4
Yago;84926;2.25;2,25
Dod™;84927;4.26;4,26
Marcos Felipe ;85004;3.0;3
Vinicius Silvestre;85083;2.0;2
Robert ;85121;3.15;3,15
Ronaldo;85149;3.2;3,2
Thalles;85211;3.58;3,58
Yerry Mina;85241;14.0;14
Berr’o ;85300;4.45;4,45
Uilson;85418;4.0;4
Vald’via;85423;8.75;8,75
Jo‹o Paulo;85425;2.97;2,97
Jonas;85586;8.55;8,55
Artur;85591;4.0;4
L_o;85626;3.35;3,35
Daniel;85629;4.49;4,49
Hyoran;85931;2.38;2,38
Borja;86120;15.91;15,91
Wanderson;86143;5.74;5,74
Morato;86227;3.0;3
Victor Luis;86410;13.05;13,05
Breno Lopes;86411;3.43;3,43
Keno;86485;7.74;7,74
Jandrei;86508;4.78;4,78
Everton Felipe;86519;4.41;4,41
Tchê Tchê;86686;7.45;7,45
Richard;86711;5.49;5,49
Jonathan;86713;3.02;3,02
Luiz‹o;86724;0.79;0,79
Lucas Rex;86745;2.0;2
Everton;86757;10.5;10,5
Luan;86759;19.48;19,48
Lucas Macanhan;86760;2.0;2
Sidcley;86764;14.72;14,72
Matheus Rossetto;86766;4.32;4,32
Jordi;86776;2.81;2,81
Henrique Gelain;86783;1.0;1
Raniel;86797;2.4;2,4
Jos_ Welison;86859;3.16;3,16
Vinicius;86861;2.0;2
