,nome,slug,apelido,foto,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,clube.id.full.name,A,CA,FC,FD,FF,FS,FT,G,I,PE,RB,SG,CV,DD,GS,PP,GC,DP
627,Rafael Santos de Sousa,rafael,Rafael,https://s.glbimg.com/es/sde/f/2017/04/24/db3ab616836bf6fcfa76a2dd7846986b_FORMATO.png,97902,38,FLA,3,6,0,1.0,0,0,Flamengo,,,,,,,,,,,,,,,,,,
628,Leonardo Rech Ortiz,leo-ortiz,LÇo Ortiz,https://s.glbimg.com/es/sde/f/2018/03/23/0487d5333c622c87e5ad477567b7ee36_FORMATO.png,97867,38,SPO,3,6,0,1.96,0,#CAMPO!,Sport,,1.0,3.0,,1.0,1.0,,,,13.0,3.0,,,,,,,
629,Vitor Eduardo da Silva Matos,vitao,VitÑo,https://s.glbimg.com/es/sde/f/2017/12/02/4d449cbc6b7323b7652ea2ab5c68e8aa_FORMATO.png,97900,38,PAL,3,6,0,2.0,0,0,Palmeiras,,,,,,,,,,,,,,,,,,
630,Felipe Guilherme Moreira Bernardo,felipinho,Felipinho,https://s.glbimg.com/es/sde/f/2018/06/05/c3642a3c616e9a283af3bfee7f2dee6b_FORMATO.png,97931,38,AME,2,6,0,1.0,0,0,AmÇrica-MG,,,,,,,,,,,,,,,,,,
631,Erick Martins Ferreira Carvalho,erick,Erick,https://s.glbimg.com/es/sde/f/2018/05/07/88672601deeb050de20d1c18b8a04c9e_FORMATO.png,97930,38,AME,1,6,0,1.0,0,0,AmÇrica-MG,,,,,,,,,,,,,,,,,,
632,Wesley Lopes Beltrame,wesley,Wesley,https://s.glbimg.com/es/sde/f/2018/05/07/afc0980fa52b7d52eb47247ece1a7ce6_FORMATO.png,50421,38,AME,4,6,0,1.14,0,0.09,AmÇrica-MG,1.0,3.0,19.0,2.0,4.0,15.0,1.0,,1.0,23.0,9.0,,2.0,,,,,
633,Rafael Lucas Cardoso Santos,rafael-santos,Rafael Santos,,97907,38,CRU,2,6,0,1.53,0,0,Cruzeiro,,,,,,,,,,,,,,,,,,
634,Elicarlos Souza Santos,elicarlos,Elicarlos,https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png,50313,38,CHA,4,6,2,6.09,0,3.15,Chapecoense,,3.0,35.0,6.0,8.0,44.0,,2.0,,34.0,43.0,,,,,,,
635,Romulo Borges Monteiro,romulo,Romulo,https://s.glbimg.com/es/sde/f/2018/05/04/567c4c3a4d23c2c7f9849ff47e10d98f_FORMATO.png,70009,38,FLA,4,6,0,2.06,0,0.03,Flamengo,,1.0,6.0,,1.0,1.0,,,,7.0,4.0,,,,,,,
636,Victor Ferraz Macedo,victor-ferraz,Victor Ferraz,https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png,70046,38,SAN,2,7,5.8,11.12,0.21,4.87,Santos,,5.0,24.0,6.0,6.0,15.0,,3.0,5.0,76.0,60.0,12.0,,,,,,
637,Hudson Rodrigues dos Santos,hudson,Hudson,https://s.glbimg.com/es/sde/f/2018/08/21/fd7a44dceed6227c047b9edf09ed14f8_FORMATO.png,50324,38,SAO,4,7,5.5,9.85,1.2,3.78,SÑo Paulo,,10.0,64.0,7.0,22.0,38.0,,1.0,4.0,40.0,87.0,,,,,,,
638,Javier Arley Reina Calvo,reina,Reina,https://s.glbimg.com/es/sde/f/2018/05/25/644b3e996f44835c5c708d4d081cf8d7_FORMATO.png,70118,38,CEA,4,5,0,1.11,0,#CAMPO!,Cear†,,2.0,10.0,1.0,,4.0,,,1.0,10.0,3.0,,,,,,,
639,Marcelo Oliveira Ferreira,marcelo-oliveira,Marcelo Oliveira,https://s.glbimg.com/es/sde/f/2018/05/21/cd9984e989967919e3ef170f9dab23b7_FORMATO.png,50328,38,GRE,2,7,0,2.96,0,2.07,Gràmio,,5.0,23.0,,1.0,9.0,,,1.0,21.0,18.0,5.0,,,,,,
640,Fellipe Ramos Ignez Bastos,fellipe-bastos,Fellipe Bastos,https://s.glbimg.com/es/sde/f/2018/03/05/105c1b01950d04f72d197c2b080b62c2_FORMATO.png,70116,38,SPO,4,2,8.6,9.73,0.57,3.55,Sport,2.0,3.0,37.0,17.0,30.0,28.0,,1.0,1.0,89.0,52.0,,,,,,,
641,Gerson Alencar de Lima Junior,gerson-magrao,Gerson MagrÑo,https://s.glbimg.com/es/sde/f/2018/05/07/b671b3790ed438968275eedce0fcd245_FORMATO.png,50401,38,AME,4,6,0,3.34,0,1.69,AmÇrica-MG,,4.0,25.0,11.0,5.0,15.0,,2.0,5.0,49.0,25.0,,,,,,,
642,Lucas Rios Marques,lucas,Lucas,https://s.glbimg.com/es/sde/f/2018/03/21/7a52d3010f3cf77c78569fca03e37727_FORMATO.png,50362,38,VIT,2,6,0,5.45,0,2.57,Vit¢ria,,,5.0,,3.0,8.0,,1.0,1.0,13.0,7.0,,,,,,,
643,Sidney Aparecido Ramos da Silva,sidao,SidÑo,https://s.glbimg.com/es/sde/f/2018/08/22/f344ae872d2199f6428ab6885294b3ce_FORMATO.png,70222,38,SAO,1,6,0,10.37,0,3.18,SÑo Paulo,,3.0,,,,1.0,,,,22.0,,11.0,,31.0,25.0,,,
644,Eduardo Colcenti Antunes,eduardo-sasha,Eduardo Sasha,https://s.glbimg.com/es/sde/f/2018/05/23/a1e5220c82575c4f297c1173ec07d58a_FORMATO.png,70360,38,SAN,5,6,0,6.73,#CAMPO!,1.92,Santos,3.0,1.0,18.0,4.0,10.0,27.0,1.0,1.0,9.0,32.0,14.0,,,,,,,
645,Marco Antonio de Mattos Filho,marquinho,Marquinho,https://s.glbimg.com/es/sde/f/2018/09/03/be8fa5d6b57d480b7900b9986c586f3c_FORMATO.png,50407,38,ATL,4,6,0,5.0,0,0,AtlÇtico-PR,,,,,,,,,,,,,,,,,,
646,Kayke Moreno de Andrade Rodrigues,kayke,Kayke,https://s.glbimg.com/es/sde/f/2018/08/16/68939bb2515bd67ecdddb387f1c2230e_FORMATO.png,50402,38,FLU,5,7,1.5,3.58,0.45,0.37,Fluminense,,2.0,19.0,7.0,4.0,2.0,,,4.0,10.0,7.0,,,,,,,
647,Fillipe Soutto Mayor Nogueira Ferreira,fillipe-soutto,Fillipe Soutto,https://s.glbimg.com/es/sde/f/2018/03/21/0daa49ddeceb2e945617b2f9a0df22b9_FORMATO.png,70581,38,VIT,4,5,0,3.05,0,0.14,Vit¢ria,,1.0,10.0,2.0,,4.0,,,,9.0,4.0,,,,,,,
648,Kendy Tateishi Berbel,kendy,Kendy,https://s.glbimg.com/es/sde/f/2018/05/24/523e1089d0afe7b92de643fefef0ec55_FORMATO.png,98421,38,CHA,5,6,0,1.0,0,0,Chapecoense,,,,,,,,,,,,,,,,,,
