,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
161,Matheus Matias,100430,314,https://s.glbimg.com/es/sde/f/2019/05/03/4950f0f0b7885ba14d08911b25c080c1_FORMATO.png,2,-0.1,Matheus Matias Ferreira,0.0,5,1.79,20,"{'FC': 3, 'FF': 1, 'FS': 1}",matheus-matias,6,0.0
162,Bustamante,100425,341,https://s.glbimg.com/es/sde/f/2019/08/06/709f6c7dc04157eb549acea294843064_FORMATO.png,7,1.87,HÇctor Ariel Bustamante,5.0,5,2.86,20,"{'CA': 1, 'FC': 14, 'FD': 2, 'FF': 3, 'FS': 10, 'G': 1, 'I': 1, 'PE': 9, 'RB': 5}",bustamante,7,-0.22
163,Yuri Alberto,100652,277,https://s.glbimg.com/es/sde/f/2019/03/28/aa5dd1708e186460f701dd3ce77f0824_FORMATO.png,0,0.0,Yuri Alberto Monteiro da Silva,0.0,5,2.0,20,{},yuri-alberto,6,0.0
164,Lucas Bergantin,105589,275,https://s.glbimg.com/es/sde/f/2019/05/01/9427d6d7db41ff3a13c0f302e31f830a_FORMATO.png,0,0.0,Lucas Bergantin Braganáa,0.0,1,1.0,20,{},lucas-bergantin,6,0.0
165,Liziero,100761,276,https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png,8,1.46,Igor Matheus Liziero Pereira ,0.0,4,3.82,20,"{'CA': 1, 'FC': 9, 'FD': 1, 'FF': 2, 'FS': 8, 'PE': 17, 'RB': 11}",liziero,6,0.0
166,Iago Mendonáa,105278,290,https://s.glbimg.com/es/sde/f/2019/03/26/0a85b74cc382e686bc790312c4cd7983_FORMATO.png,0,0.0,Iago Pereira Mendonáa,0.0,3,1.0,20,{},iago-mendonca,6,0.0
167,AndrÇ,104080,263,,0,0.0,AndrÇ Luiz Ribeiro da Silva,0.0,1,1.0,20,{},andre,6,0.0
168,Filipe,100712,264,https://s.glbimg.com/es/sde/f/2019/05/23/637d8e2371145463b7d61a38d9d5ce88_FORMATO.png,0,0.0,Filipe Gonáalves dos Santos,0.0,1,2.0,20,{},filipe,6,0.0
169,Mauricio,105647,283,,4,2.9,Mauricio MagalhÑes Prado,0.0,4,2.6,20,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 2, 'G': 1, 'I': 1, 'PE': 8, 'RB': 3}",mauricio,6,0.0
170,Matheus Henrique,100742,284,https://s.glbimg.com/es/sde/f/2018/09/25/46030666e126811406fd6e8bdccc980e_FORMATO.png,10,1.85,Matheus Henrique de Souza,5.0,4,4.34,20,"{'A': 1, 'CA': 3, 'FC': 12, 'FD': 2, 'FF': 1, 'FS': 14, 'PE': 24, 'RB': 15}",matheus-henrique,7,0.74
171,Gabriel Sara,100763,276,https://s.glbimg.com/es/sde/f/2018/08/21/de4ebb4930052513099aefe26a7f4caa_FORMATO.png,1,0.6,Gabriel Davi Gomes Sara,0.0,4,0.9,20,"{'FD': 1, 'PE': 2}",gabriel-sara,6,0.0
172,Alessandro,104081,263,https://s.glbimg.com/es/sde/f/2019/03/22/ca58dd5dc7b75891e8aea6c26aea3064_FORMATO.png,0,0.0,Alessandro Scheppa,0.0,4,1.0,20,{},alessandro,6,0.0
173,Walce,104074,276,https://s.glbimg.com/es/sde/f/2019/03/26/d9fb64d171c0188ebc7f660fe5f388ea_FORMATO.png,3,3.57,Walce da Silva Costa Filho,0.0,3,3.67,20,"{'FC': 1, 'PE': 6, 'RB': 2, 'SG': 2}",walce,6,0.0
174,Brenno,100830,284,https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg,0,0.0,Brenno Oliveira Fraga Costa,0.0,1,2.0,20,{},brenno,6,0.0
175,Emanuel,100840,284,https://s.glbimg.com/es/sde/f/2017/12/01/e2a85d715ac397898197228bac470497_FORMATO.jpeg,0,0.0,Emanuel Leone Moura,0.0,3,2.0,20,{},emanuel,6,0.0
176,Ruan,100842,284,,0,0.0,Ruan Tressoldi Netto,0.0,3,1.0,20,{},ruan,6,0.0
177,Felipe,100843,284,,0,0.0,Felipe Albuquerque Felippi,0.0,2,1.0,20,{},felipe,6,0.0
178,Esteves,100846,275,https://s.glbimg.com/es/sde/f/2019/07/08/cd984c932e6f6d7e51df1e0963c5513e_FORMATO.jpeg,0,0.0,Lucas Esteves de Souza,0.0,2,1.0,20,{},esteves,6,0.0
179,Carlos Miguel,104084,285,https://s.glbimg.com/es/sde/f/2019/04/26/d8ee304d012b001ba32d480ec6788ead_FORMATO.png,0,0.0,Carlos Miguel dos Santos Pereira,0.0,1,1.0,20,{},carlos-miguel,6,0.0
180,Sarrafiore,101315,285,https://s.glbimg.com/es/sde/f/2018/07/05/ce690031c364aa0119c415809e422cf0_FORMATO.png,14,1.52,Mart°n Nicol†s Sarrafiore,0.5,4,3.61,20,"{'CA': 3, 'FC': 12, 'FD': 2, 'FF': 7, 'FS': 7, 'G': 2, 'PE': 20, 'RB': 8}",sarrafiore,6,0.01
181,Felippe Cardoso,100963,354,https://s.glbimg.com/es/sde/f/2019/07/16/0e97ab882ccb46151e687ca118809f7c_FORMATO.png,11,2.67,Wanderson Felippe Cardoso dos Santos,4.6,5,3.96,20,"{'A': 1, 'CA': 1, 'FC': 33, 'FD': 7, 'FF': 7, 'FS': 15, 'FT': 1, 'G': 2, 'I': 9, 'PE': 7, 'RB': 6}",felippe-cardoso,7,0.52
182,Miguel,105612,266,https://s.glbimg.com/es/sde/f/2019/08/06/c4a34e3763fd88179fcf0166039b57a6_FORMATO.png,2,0.35,Miguel Silveira dos Santos,0.0,4,2.21,20,"{'FS': 2, 'PE': 1}",miguel,6,0.0
183,Bruno Fuchs,104085,285,https://s.glbimg.com/es/sde/f/2019/04/26/fff0d652b4ac6ce54ef47883b8b15162_FORMATO.png,3,3.13,Bruno de Lara Fuchs,0.0,3,2.72,20,"{'CA': 1, 'FD': 1, 'FS': 1, 'PE': 6, 'RB': 1, 'SG': 2}",bruno-fuchs,6,0.0
184,Nonato,100987,285,https://s.glbimg.com/es/sde/f/2019/05/09/08cbb57fc00b07a7ca892ea09b8dc8e5_FORMATO.png,18,3.78,Gustavo Nonato Santana,0.0,4,8.81,20,"{'A': 1, 'CA': 2, 'FC': 36, 'FD': 4, 'FF': 6, 'FS': 14, 'G': 2, 'I': 1, 'PE': 23, 'RB': 40}",nonato,2,0.0
185,Rony,101040,276,https://s.glbimg.com/es/sde/f/2019/06/20/cf0dbe27f075457db8f6dabc6fb405d3_FORMATO.png,0,0.0,Rony Fernandes da Silva,0.0,3,2.0,20,{},rony,6,0.0
186,Guga,101319,282,https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png,10,3.95,Claudio Rodrigues Gomes,1.5,2,7.59,20,"{'A': 3, 'FC': 7, 'FF': 3, 'FS': 7, 'I': 2, 'PE': 38, 'RB': 23}",guga,6,-0.22
187,Jì,101317,314,https://s.glbimg.com/es/sde/f/2018/01/23/b7dbfe9b201891a0b82bad50c8db0b21_FORMATO.png,0,0.0,Jean Hebert de Freitas,0.0,5,1.0,20,{},jo,6,0.0
188,Gustavo,101316,314,https://s.glbimg.com/es/sde/f/2019/02/18/2d52dcaf120ebbe0826308ada2b51f8d_FORMATO.png,0,0.0,Gustavo Alcindo (Alcino),0.0,3,3.0,20,{},gustavo,6,0.0
189,Matheus Prado,101375,341,https://s.glbimg.com/es/sde/f/2019/09/19/66d00f70b24d3490bd0381420c5c189d_FORMATO.png,0,0.0,Matheus Rodrigues do Prado,0.0,4,1.0,20,{},matheus-prado,6,0.0
190,Da Silva,105836,284,https://s.glbimg.com/es/sde/f/2019/07/12/380d621745973d53ba54bcea8b8a9dbd_FORMATO.png,3,0.17,Rondinelli da Silva Vieira ,0.0,5,0.78,20,"{'FC': 1, 'FS': 2}",da-silva,6,0.0
191,JoÑo Carlos,69010,341,https://s.glbimg.com/es/sde/f/2019/03/23/b148048ebdcdc02c79c893ae63f6e80d_FORMATO.png,2,-0.65,JoÑo Carlos Heidemann,0.0,1,1.19,20,"{'CV': 1, 'DD': 1, 'FC': 1, 'FS': 1, 'GS': 2, 'PE': 1, 'SG': 1}",joao-carlos,6,0.0
192,Igor Campos,101421,315,https://s.glbimg.com/es/sde/f/2019/08/27/593bfd8ab98c93828dfa3825e6c21584_FORMATO.png,0,0.0,Igor Henrique Pereira de Campos,0.0,1,1.0,20,{},igor-campos,6,0.0
193,Luan,105807,266,https://s.glbimg.com/es/sde/f/2019/08/06/bbe5e351f024340439d6eb76fad1af4c_FORMATO.png,0,0.0,Luan de Freitas Molarinho Chagas,0.0,3,1.0,20,{},luan,6,0.0
194,Guilherme Azevedo,105837,284,,0,0.0,Guilherme da Silva Azevedo,0.0,5,1.0,20,{},guilherme-azevedo,6,0.0
195,Erik,105838,285,https://s.glbimg.com/es/sde/f/2019/06/22/53c37b9803ae315a6742ebb85bacdccf_FORMATO.png,2,2.55,Erik Jorgens de Menezes,0.0,2,2.05,20,"{'FS': 3, 'PE': 3, 'RB': 3}",erik,6,0.0
196,Bruno Silva,101422,282,https://s.glbimg.com/es/sde/f/2019/07/08/b382b801cec6400c54c7c9f971b5b35f_FORMATO.png,1,-0.3,Bruno da Silva Costa,0.0,5,2.8,20,{'PE': 1},bruno-silva,6,0.0
197,Ricardo,101491,314,https://s.glbimg.com/es/sde/f/2019/03/26/d6db02ce94eb23f6a9e0090158f1d7e8_FORMATO.png,11,2.48,Ricardo Thalheimer,3.4,3,4.6,20,"{'CA': 3, 'FC': 10, 'FD': 1, 'FF': 2, 'FS': 1, 'I': 2, 'PE': 25, 'RB': 9, 'SG': 6}",ricardo,3,0.05
198,Thonny Anderson,101484,293,https://s.glbimg.com/es/sde/f/2019/05/18/9c926f399fb16f3629089771a4b5a9b6_FORMATO.png,12,3.49,Thonny Anderson da Silva Carvalho,0.0,4,4.21,20,"{'A': 1, 'CA': 1, 'FC': 14, 'FD': 7, 'FF': 5, 'FS': 11, 'FT': 1, 'G': 2, 'I': 2, 'PE': 17, 'RB': 10}",thonny-anderson,6,-1.51
